Description,Zone,Response_Price,Profile,REF_2016,REF_2017,REF_2018,REF_2019,REF_2020,REF_2021,REF_2022,REF_2023,REF_2024,REF_2025,REF_2026,REF_2027,REF_2028,REF_2029,REF_2030,REF_2031,REF_2032,REF_2033,REF_2034,REF_2035,REF_2040,REF_2045,REF_2050,HIG_2016,HIG_2017,HIG_2018,HIG_2019,HIG_2020,HIG_2021,HIG_2022,HIG_2023,HIG_2024,HIG_2025,HIG_2026,HIG_2027,HIG_2028,HIG_2029,HIG_2030,HIG_2031,HIG_2032,HIG_2033,HIG_2034,HIG_2035,HIG_2040,HIG_2045,HIG_2050,LOW_2016,LOW_2017,LOW_2018,LOW_2019,LOW_2020,LOW_2021,LOW_2022,LOW_2023,LOW_2024,LOW_2025,LOW_2026,LOW_2027,LOW_2028,LOW_2029,LOW_2030,LOW_2031,LOW_2032,LOW_2033,LOW_2034,LOW_2035,LOW_2040,LOW_2045,LOW_2050
AUT_Heating_1,AUT,5000,D_AUT_RES,0,0,3242,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,0,0,3230,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,0,0,3230,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870,9870
AUT_Households_and_services,AUT,5000,D_AUT_RES,32769983,33612015,33700092,34132616,34132616,35191016,36249416,37307816,38366216,39424616,39583016,39741416,39899816,40058216,40216616,41008016,41799416,42590816,43382216,44173616,43630616,43382130,43323163,32644071,33479155,33577558,34132616,34132616,35191016,36249416,37307816,36899156,36490496,36081836,37201706,38321576,39441446,40216616,40951576,41341836,41732096,42122356,42512616,41449616,41201130,41142163,32644071,33479155,33577558,34132616,34132616,35191016,36249416,37307816,40879966,44452116,46516016,48579916,50643816,52707716,54771616,53703016,52634416,51565816,50497216,49428616,44085616,43837130,43778163
AUT_Industry,AUT,5000,D_AUT_RES,31682079,31938943,32004631,31716539,30651539,32169059,32621579,33074099,33526619,33979139,34431659,34884179,35336699,35789219,36241739,36647159,37052579,37457999,37863419,38268839,40295939,41223575,41443707,31633824,31888037,31957733,31716539,30651539,32169059,32621579,33074099,33726044,34377989,34910279,35442569,35615894,35789219,36241739,36647159,37052579,37457999,37863419,38268839,40151639,41079275,41299407,31633824,31888037,31957733,31716539,30651539,32169059,32621579,33074099,34595744,36117389,36997559,37877729,38757899,39638069,40518239,40941659,41365079,41788499,42211919,42635339,44752439,45680075,45900207
AUT_Transport_1,AUT,5000,D_AUT_RES,3399276,3462627,3471334,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3386215,3448940,3458713,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3386215,3448940,3458713,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168,3466168
AUT_Transport_2,AUT_EV,5000,D_DEFAULT_EV,14946,15318,15598,15148,176014,280018,384022,488026,592030,696034,800038,904042,1008046,1112050,1216054,1666738,2117422,2568106,3018790,3469474,5722894,7670464,9177456,14888,15257,15541,15148,176014,280018,384022,488026,592030,696034,800038,904042,1008046,1112050,1216054,1666738,2117422,2568106,3018790,3469474,5722894,7670464,9177456,14888,15257,15541,15148,176014,280018,384022,488026,1200257,1912489,2184925,2457362,2729798,3002234,3274670,4455227,5635784,6816342,7996899,9177456,11288340,12534796,13270816
AUT_Heating_2,AUT,5000,D_AUT_HEAT,0,0,1344,24416,253610,383487,513363,643240,773116,902993,1032870,1162746,1292623,1422499,1552376,1766291,1980205,2194119,2408034,2621948,3691520,4180975,4297124,0,0,1340,24416,253610,383487,513363,643240,773117,902993,1032870,1162746,1292623,1422499,1552376,1766291,1980205,2194119,2408034,2621948,3691520,4180975,4297124,0,0,1340,24416,253610,383487,513363,643240,773117,902993,1032870,1162746,1292623,1422499,1552376,1766291,1980205,2194119,2408034,2621948,3691520,4180975,4297124
BEL_Households_and_services,BEL,5000,D_BEL_RES,44633795,44353460,44427602,44082577,44082577,43762577,42442577,43022577,43402577,43882577,44662577,45442577,46322577,46902577,47382577,47382577,47382577,47382577,47382577,47382577,47382577,47382577,47382577,44487618,44210402,44292430,44082577,44082577,43762577,42442577,43022577,43316863,43611149,43905434,44199720,44494006,44788291,45082577,45082577,45082577,45082577,45082577,45082577,45082577,45082577,45082577,44487618,44210402,44292430,44082577,44082577,43762577,42442577,43022577,43402577,43882577,44662577,45442577,46322577,46902577,47382577,47382577,47382577,47382577,47382577,47382577,47382577,47382577,47382577
BEL_Industry,BEL,5000,D_BEL_RES,41145338,41522108,41997087,41330732,39855732,41169032,41007332,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,41100991,41478203,41954198,41330732,39855732,41169032,41007332,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,41100991,41478203,41954198,41330732,39855732,41169032,41007332,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632,40845632
BEL_Transport_1,BEL,5000,D_BEL_RES,1730733,1753477,1771944,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1725064,1747821,1766552,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1725064,1747821,1766552,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526,1712526
BEL_Transport_2,BEL_EV,5000,D_DEFAULT_EV,29334,48055,72167,107165,220638,413238,605838,798438,1087338,1376238,1761438,2146638,2531838,3109638,3687438,4288701,4889964,5491227,6092490,6693754,9019983,10819976,12212775,29238,47900,71947,107165,220638,413238,605838,798438,1087338,1376238,1761438,2146638,2531838,3109638,3687438,4288701,4889964,5491227,6092490,6693754,9019983,10819976,12212775,29238,47900,71947,107165,220638,413238,605838,798438,1087338,1376238,1761438,2146638,2531838,3109638,3687438,5392505,7097572,8802640,10507707,12212775,14163707,15315712,15995960
